Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum
HRRN     	    22	          0.06	           27.789	    19.099	     1.0	       706.092	      0
HRRN     	    23	          0.06	           28.062	    19.997	     1.0	       758.123	      0
HRRN     	    24	          0.06	           32.468	    20.453	     1.0	       943.916	      0
HRRN     	    25	          0.06	           32.346	    20.796	     1.0	      1023.775	      0
HRRN     	    26	          0.06	           34.882	    21.301	     1.0	      1137.484	      0
HRRN     	    27	          0.06	           32.236	    21.812	     1.0	      1143.753	      0
HRRN     	    28	          0.06	           34.029	    22.656	     1.0	      1306.461	      0
HRRN     	    29	          0.06	           36.104	     22.71	     1.0	      1388.884	      0
HRRN     	    30	          0.06	           36.959	    23.139	     1.0	      1491.069	      0
Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum

RR       	     1	          0.06	            0.063	     0.991	   0.059	         0.065	   0.01
RR       	     2	          0.06	            0.068	     1.978	   0.118	         0.135	   0.01
RR       	     3	          0.06	            0.075	      3.06	   0.188	         0.224	   0.01
RR       	     4	          0.06	             0.08	     4.028	    0.24	         0.329	   0.01
RR       	     5	          0.06	            0.084	     5.055	   0.301	         0.425	   0.01
RR       	     6	          0.06	            0.091	     6.061	    0.36	         0.548	   0.01
RR       	     7	          0.06	            0.109	     7.023	   0.428	         0.774	   0.01
RR       	     8	          0.06	            0.123	     8.117	    0.49	         1.012	   0.01
RR       	     9	          0.06	            0.129	      8.98	   0.544	         1.145	   0.01
RR       	    10	          0.06	             0.15	     9.729	    0.58	         1.486	   0.01
RR       	    11	          0.06	            0.169	    10.915	   0.651	         1.869	   0.01
RR       	    12	          0.06	            0.213	    11.945	   0.718	         2.554	   0.01
RR       	    13	          0.06	            0.228	    12.926	   0.758	         2.906	   0.01
RR       	    14	          0.06	            0.366	    14.103	   0.846	         5.127	   0.01
RR       	    15	          0.06	            0.462	    14.686	   0.877	         6.794	   0.01
RR       	    16	          0.06	            0.774	    15.956	   0.946	        12.168	   0.01
RR       	    17	          0.06	           10.172	    16.648	   0.999	       172.407	   0.01
RR       	    18	          0.06	           25.806	    16.494	   0.999	       460.761	   0.01
RR       	    19	          0.06	           38.915	    16.449	     1.0	       732.827	   0.01
RR       	    20	          0.06	           54.368	    16.564	   0.999	      1066.275	   0.01
RR       	    21	          0.06	           63.073	    16.798	   0.999	       1336.47	   0.01
RR       	    22	          0.06	           78.648	    16.365	     1.0	      1717.725	   0.01
RR       	    23	          0.06	           86.262	    16.434	     1.0	       1969.24	   0.01
RR       	    24	          0.06	           94.001	    16.708	   0.999	      2284.422	   0.01
RR       	    25	          0.06	           99.577	    16.435	     1.0	      2475.063	   0.01
RR       	    26	          0.06	          112.521	    16.513	     1.0	      2932.428	   0.01
RR       	    27	          0.06	          115.328	    16.583	   0.999	      3093.564	   0.01
RR       	    28	          0.06	          120.901	    16.568	     1.0	       3356.26	   0.01
RR       	    29	          0.06	           129.33	    16.674	     1.0	      3713.032	   0.01
RR       	    30	          0.06	          129.346	    16.869	   0.999	      3890.078	   0.01
Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum

RR       	     1	          0.06	            0.066	     0.997	    0.06	         0.065	    0.2
RR       	     2	          0.06	            0.074	     2.021	   0.124	         0.157	    0.2
RR       	     3	          0.06	            0.079	     2.955	   0.176	         0.237	    0.2
RR       	     4	          0.06	            0.087	     4.028	   0.242	         0.344	    0.2
RR       	     5	          0.06	            0.097	     5.046	   0.308	         0.482	    0.2
RR       	     6	          0.06	            0.109	     5.979	   0.358	         0.662	    0.2
RR       	     7	          0.06	            0.117	     7.048	   0.421	         0.829	    0.2
RR       	     8	          0.06	            0.133	     8.034	    0.48	         1.076	    0.2
RR       	     9	          0.06	            0.145	     9.036	   0.532	         1.296	    0.2
RR       	    10	          0.06	            0.164	    10.109	     0.6	          1.64	    0.2
RR       	    11	          0.06	            0.197	    10.965	   0.671	          2.13	    0.2
RR       	    12	          0.06	            0.213	    11.924	     0.7	          2.53	    0.2
RR       	    13	          0.06	            0.272	    12.946	   0.769	          3.51	    0.2
RR       	    14	          0.06	            0.477	    14.116	   0.844	         6.829	    0.2
RR       	    15	          0.06	            0.651	     15.33	   0.912	        10.025	    0.2
RR       	    16	          0.06	            1.255	    15.954	   0.958	        20.048	    0.2
RR       	    17	          0.06	            8.379	    16.601	   0.997	       141.581	    0.2
RR       	    18	          0.06	           21.725	    16.631	   0.998	       384.511	    0.2
RR       	    19	          0.06	            35.75	    16.825	   1.003	       678.388	    0.2
RR       	    20	          0.06	           48.261	    16.587	   0.996	       953.235	    0.2
RR       	    21	          0.06	           54.958	    16.716	   1.001	      1149.247	    0.2
RR       	    22	          0.06	           76.543	    16.665	   0.997	      1695.837	    0.2
RR       	    23	          0.06	           80.111	    16.688	   1.001	      1831.108	    0.2
RR       	    24	          0.06	           92.644	    16.564	   0.998	      2261.842	    0.2
RR       	    25	          0.06	          101.779	    16.547	   1.001	      2571.893	    0.2
RR       	    26	          0.06	          108.732	    16.569	     1.0	      2829.857	    0.2
RR       	    27	          0.06	          114.929	    16.747	     1.0	       3121.24	    0.2
RR       	    28	          0.06	          121.101	    16.699	   0.998	      3387.915	    0.2
RR       	    29	          0.06	          123.968	    16.727	     1.0	      3567.657	    0.2
RR       	    30	          0.06	          133.535	    16.771	   1.001	      3976.957	    0.2
